24-09-13 03:36:38.245 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
24-09-13 03:36:38.313 [main] INFO  c.b.cloud.app.UserApplication - Starting UserApplication using Java 21.0.4 with PID 25904 (C:\Users\rejoshi\Desktop\Java Training\SpringBoot\BudgetBuddy\user\target\classes started by rejoshi in C:\Users\rejoshi\Desktop\Java Training\SpringBoot\BudgetBuddy\user)
24-09-13 03:36:38.314 [main] INFO  c.b.cloud.app.UserApplication - No active profile set, falling back to 1 default profile: "default"
24-09-13 03:36:39.169 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
24-09-13 03:36:39.382 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 189 ms. Found 2 JPA repository interfaces.
24-09-13 03:36:39.674 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=ff7a8c9d-d23f-35f3-9f42-d30318c1f3eb
24-09-13 03:36:39.841 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
24-09-13 03:36:39.843 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
24-09-13 03:36:40.075 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
24-09-13 03:36:40.084 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
24-09-13 03:36:40.087 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
24-09-13 03:36:40.088 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.28]
24-09-13 03:36:40.214 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
24-09-13 03:36:40.216 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1850 ms
24-09-13 03:36:40.375 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
24-09-13 03:36:40.443 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
24-09-13 03:36:40.475 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
24-09-13 03:36:40.779 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
24-09-13 03:36:40.805 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
24-09-13 03:36:41.143 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@16944b58
24-09-13 03:36:41.145 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
24-09-13 03:36:41.196 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
24-09-13 03:36:41.197 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
24-09-13 03:36:42.234 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
24-09-13 03:36:42.325 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
